NO,Result,Reason
AB_2411,Yes,"Study data, code, or resources available at repository or project URL"
AB_2412,Yes,"Study data, code, or resources available at repository or project URL"
AB_2413,Yes,"Study data, code, or resources available at repository or project URL"
AB_2414,Yes,"Study data, code, or resources available at repository or project URL"
AB_2415,Yes,"Study data, code, or resources available at repository or project URL"
AB_2416,Yes,"Study data, code, or resources available at repository or project URL"
AB_2417,Yes,"Study data, code, or resources available at repository or project URL"
AB_2418,Yes,"Study data, code, or resources available at repository or project URL"
AB_2419,Yes,"Study data, code, or resources available at repository or project URL"
AB_2420,Yes,"Study data, code, or resources available at repository or project URL"
