NO,Result,Reason
AB_2531,Yes,"Study data, code, or resources available at repository or project URL"
AB_2532,Yes,"Study data, code, or resources available at repository or project URL"
AB_2533,Yes,"Study data, code, or resources available at repository or project URL"
AB_2534,Yes,"Study data, code, or resources available at repository or project URL"
AB_2535,No URL found,No explicit http/https URL found
AB_2536,Yes,"Study data, code, or resources available at repository or project URL"
AB_2537,Yes,"Study data, code, or resources available at repository or project URL"
AB_2538,Yes,"Study data, code, or resources available at repository or project URL"
AB_2539,Yes,"Study data, code, or resources available at repository or project URL"
AB_2540,Yes,"Study data, code, or resources available at repository or project URL"
