NO,Result,Reason
AB_3021,Yes,"Study data, code, or resources available at repository or project URL"
AB_3022,Yes,"Study data, code, or resources available at repository or project URL"
AB_3023,Yes,"Study data, code, or resources available at repository or project URL"
AB_3024,Yes,"Study data, code, or resources available at repository or project URL"
AB_3025,Yes,"Study data, code, or resources available at repository or project URL"
AB_3026,Yes,"Study data, code, or resources available at repository or project URL"
AB_3027,Yes,"Study data, code, or resources available at repository or project URL"
AB_3028,Yes,"Study data, code, or resources available at repository or project URL"
AB_3029,Yes,"Study data, code, or resources available at repository or project URL"
AB_3030,Yes,"Study data, code, or resources available at repository or project URL"
