NO,Result,Reason
AB_3761,Yes,Study data or materials available at URL
AB_3762,Yes,Study data or materials available at URL
AB_3763,Yes,Study data or materials available at URL
AB_3764,Yes,Study data or materials available at URL
AB_3765,Yes,Study data or materials available at URL
AB_3766,Yes,Study data or materials available at URL
AB_3767,Yes,Study data or materials available at URL
AB_3768,Yes,URL plausibly provides research-related outputs
AB_3769,Yes,Study data or materials available at URL
AB_3770,Yes,Study data or materials available at URL
