NO,Result,Reason
AB_2931,Yes,"Study data, code, or resources available at repository or project URL"
AB_2932,Yes,"Study data, code, or resources available at repository or project URL"
AB_2933,Yes,"Study data, code, or resources available at repository or project URL"
AB_2934,Yes,"Study data, code, or resources available at repository or project URL"
AB_2935,Yes,"Study data, code, or resources available at repository or project URL"
AB_2936,Yes,"Study data, code, or resources available at repository or project URL"
AB_2937,Yes,"Study data, code, or resources available at repository or project URL"
AB_2938,Yes,"Study data, code, or resources available at repository or project URL"
AB_2939,Yes,"Study data, code, or resources available at repository or project URL"
AB_2940,Yes,"Study data, code, or resources available at repository or project URL"
