NO,Result,Reason
AB_2341,Yes,"Study data, code, or resources available at repository or project URL"
AB_2342,Yes,"Study data, code, or resources available at repository or project URL"
AB_2343,Yes,"Study data, code, or resources available at repository or project URL"
AB_2344,Yes,"Study data, code, or resources available at repository or project URL"
AB_2345,Yes,"Study data, code, or resources available at repository or project URL"
AB_2346,Yes,"Study data, code, or resources available at repository or project URL"
AB_2347,Yes,"Study data, code, or resources available at repository or project URL"
AB_2348,Yes,"Study data, code, or resources available at repository or project URL"
AB_2349,Yes,"Study data, code, or resources available at repository or project URL"
AB_2350,Yes,"Study data, code, or resources available at repository or project URL"
