NO,Result,Reason
AB_1561,Yes,Study web-based platform providing study data and analysis resources
AB_1562,Yes,Study code available at GitHub repository URL
AB_1563,No,"URL explicitly refers to clinical trial registration, not study outputs"
AB_1564,Yes,Study code available at GitHub repository URL
AB_1565,Yes,Study code available at GitHub repository URL
AB_1566,Yes,Study dataset and code available via DOI repository and Code Ocean capsule
AB_1567,Yes,Study code available at GitHub repository URL
AB_1568,Yes,Study code available at GitHub repository URL
AB_1569,Yes,Study code available at GitHub repository URL
AB_1570,Yes,Study code available at GitHub repository URL
