NO,Result,Reason
AB_3591,Yes,Study data or materials available at URL
AB_3592,Yes,Study data or materials available at URL
AB_3593,Yes,Study data or materials available at URL
AB_3594,Yes,Study data or materials available at URL
AB_3595,Yes,Study data or materials available at URL
AB_3596,Yes,Study data or materials available at URL
AB_3597,Yes,Study data or materials available at URL
AB_3598,Yes,Study data or materials available at URL
AB_3599,Yes,Study data or materials available at URL
AB_3600,No,URL present but no research outputs indicated
