NO,Result,Reason
AB_2101,Yes,Study-related resources indicated via URL
AB_2102,Yes,Study-related resources indicated via URL
AB_2103,Yes,Study-related resources indicated via URL
AB_2104,Yes,Study-related resources indicated via URL
AB_2105,Yes,Study-related resources indicated via URL
AB_2106,Yes,Study-related resources indicated via URL
AB_2107,Yes,Study-related resources indicated via URL
AB_2108,Yes,Study-related resources indicated via URL
AB_2109,Yes,Study-related resources indicated via URL
AB_2110,Yes,Study-related resources indicated via URL
