NO,Result,Reason
AB_0551,Yes,Study data or materials available at repository URL
AB_0552,Yes,Study data or materials available at repository URL
AB_0553,Yes,Study data or materials available at repository URL
AB_0554,Yes,Study data or materials available at repository URL
AB_0555,No URL found,No explicit http/https URL found
AB_0556,Yes,Study data or materials available at repository URL
AB_0557,Yes,Study data or materials available at repository URL
AB_0558,Yes,Study data or materials available at repository URL
AB_0559,Yes,Study data or materials available at repository URL
AB_0560,Yes,Study data or materials available at repository URL
