NO,Result,Reason
AB_3231,Yes,Study data or materials available at URL
AB_3232,Yes,Study data or materials available at URL
AB_3233,Yes,Study data or materials available at URL
AB_3234,Yes,Study data or materials available at URL
AB_3235,Yes,Study data or materials available at URL
AB_3236,Yes,Study data or materials available at URL
AB_3237,Yes,Study data or materials available at URL
AB_3238,Yes,Study data or materials available at URL
AB_3239,Yes,Study data or materials available at URL
AB_3240,Yes,Study data or materials available at URL
