NO,Result,Reason
AB_0541,No URL found,No explicit http/https URL found
AB_0542,Yes,Study data or materials available at repository URL
AB_0543,Yes,Study data or materials available at repository URL
AB_0544,Yes,Study data or materials available at repository URL
AB_0545,Yes,Study data or materials available at repository URL
AB_0546,Yes,Study data or materials available at repository URL
AB_0547,Yes,Study data or materials available at repository URL
AB_0548,Yes,Study data or materials available at repository URL
AB_0549,Yes,Study data or materials available at repository URL
AB_0550,Yes,Study data or materials available at repository URL
