NO,Result,Reason
AB_0951,Yes,Study data or code available at URL
AB_0952,Yes,Research-related materials plausibly available at URL
AB_0953,Yes,Study data or code available at URL
AB_0954,Yes,Study data or code available at URL
AB_0955,Yes,Study data or code available at repository URL
AB_0956,Yes,Study data or code available at URL
AB_0957,No URL found,No explicit http/https URL found
AB_0958,Yes,Study data or code available at repository URL
AB_0959,Yes,Study data or code available at URL
AB_0960,Yes,Study data or code available at repository URL
