NO,Result,Reason
AB_3361,Yes,Study data or materials available at URL
AB_3362,Yes,Study data or materials available at URL
AB_3363,Yes,Study data or materials available at URL
AB_3364,Yes,Study data or materials available at URL
AB_3365,Yes,Study data or materials available at URL
AB_3366,Yes,Study data or materials available at URL
AB_3367,Yes,Study data or materials available at URL
AB_3368,Yes,Study data or materials available at URL
AB_3369,Yes,Study data or materials available at URL
AB_3370,Yes,Study data or materials available at URL
