NO,Result,Reason
AB_0361,Yes,Study data or materials available at repository URL
AB_0362,Yes,Study data or materials available at repository URL
AB_0363,Yes,Study data or materials available at repository URL
AB_0364,Yes,Study data or materials available at repository URL
AB_0365,Yes,Study data or materials available at repository URL
AB_0366,Yes,Study data or materials available at repository URL
AB_0367,Yes,Study data or materials available at repository URL
AB_0368,Yes,Study data or materials available at repository URL
AB_0369,Yes,Study data or materials available at repository URL
AB_0370,Yes,Study data or materials available at repository URL
