NO,Result,Reason
AB_0291,No,URL explicitly refers to non-output resource or no indication of study outputs
AB_0292,Yes,Study data or materials available at repository URL
AB_0293,Yes,Study data or materials available at repository URL
AB_0294,Yes,Study data or materials available at repository URL
AB_0295,Yes,Study data or materials available at repository URL
AB_0296,Yes,Study data or materials available at repository URL
AB_0297,Yes,Study data or materials available at repository URL
AB_0298,Yes,Study data or materials available at repository URL
AB_0299,Yes,Study data or materials available at repository URL
AB_0300,Yes,Study data or materials available at repository URL
