NO,Result,Reason
AB_2831,Yes,"Study data, code, or resources available at repository or project URL"
AB_2832,Yes,"Study data, code, or resources available at repository or project URL"
AB_2833,Yes,"Study data, code, or resources available at repository or project URL"
AB_2834,Yes,"Study data, code, or resources available at repository or project URL"
AB_2835,Yes,"Study data, code, or resources available at repository or project URL"
AB_2836,Yes,"Study data, code, or resources available at repository or project URL"
AB_2837,Yes,"Study data, code, or resources available at repository or project URL"
AB_2838,Yes,"Study data, code, or resources available at repository or project URL"
AB_2839,Yes,"Study data, code, or resources available at repository or project URL"
AB_2840,Yes,"Study data, code, or resources available at repository or project URL"
