NO,Result,Reason
AB_1741,Yes,Study-related resources available at URL
AB_1742,Yes,Study-related resources available at URL
AB_1743,No,"URL explicitly refers to registration record, not study outputs"
AB_1744,Yes,Study code available at GitHub repository URL
AB_1745,Yes,Study code available at GitHub repository URL
AB_1746,Yes,Study code available at GitHub repository URL
AB_1747,Yes,Study-related resources available at URL
AB_1748,Yes,Study code available at GitHub repository URL
AB_1749,Yes,Study code available at GitHub repository URL
AB_1750,Yes,Study code available at GitHub repository URL
