NO,Result,Reason
AB_0901,Yes,Study data or code available at URL
AB_0902,Yes,Study data or code available at URL
AB_0903,Yes,Study data or code available at repository URL
AB_0904,Yes,Study data or code available at repository URL
AB_0905,Yes,Study data or code available at repository URL
AB_0906,Yes,Study data or code available at URL
AB_0907,Yes,Research-related materials plausibly available at URL
AB_0908,Yes,Study data or code available at URL
AB_0909,Yes,Research-related materials plausibly available at URL
AB_0910,Yes,Study data or code available at repository URL
