NO,Result,Reason
AB_2591,No URL found,No explicit http/https URL found
AB_2592,Yes,"Study data, code, or resources available at repository or project URL"
AB_2593,No URL found,No explicit http/https URL found
AB_2594,Yes,"Study data, code, or resources available at repository or project URL"
AB_2595,Yes,"Study data, code, or resources available at repository or project URL"
AB_2596,Yes,"Study data, code, or resources available at repository or project URL"
AB_2597,Yes,"Study data, code, or resources available at repository or project URL"
AB_2598,Yes,"Study data, code, or resources available at repository or project URL"
AB_2599,Yes,"Study data, code, or resources available at repository or project URL"
AB_2600,Yes,"Study data, code, or resources available at repository or project URL"
