NO,Result,Reason
AB_3371,Yes,Study data or materials available at URL
AB_3372,Yes,Study data or materials available at URL
AB_3373,Yes,Study data or materials available at URL
AB_3374,Yes,Study data or materials available at URL
AB_3375,Yes,Study data or materials available at URL
AB_3376,Yes,Study data or materials available at URL
AB_3377,Yes,Study data or materials available at URL
AB_3378,Yes,Study data or materials available at URL
AB_3379,Yes,Study data or materials available at URL
AB_3380,Yes,Study data or materials available at URL
