NO,Result,Reason
AB_1701,Yes,Study-related resources available at URL
AB_1702,Yes,Study-related resources available at URL
AB_1703,Yes,Study code available at GitHub repository URL
AB_1704,Yes,Study dataset available via DOI repository URL
AB_1705,Yes,Study code available at GitHub repository URL
AB_1706,No,"URL explicitly refers to registration record, not study outputs"
AB_1707,Yes,Study-related resources available at URL
AB_1708,Yes,Study code available at GitHub repository URL
AB_1709,Yes,Study code available at GitHub repository URL
AB_1710,Yes,Study code available at GitHub repository URL
