NO,Result,Reason
AB_1781,Yes,Study code available at GitHub repository URL
AB_1782,Yes,Study dataset available via DOI repository URL
AB_1783,Yes,Study code available at GitHub repository URL
AB_1784,Yes,Study code available at GitHub repository URL
AB_1785,Yes,Study code available at GitHub repository URL
AB_1786,Yes,Study code available at GitHub repository URL
AB_1787,Yes,Study dataset available via DOI repository URL
AB_1788,Yes,Study code available at GitHub repository URL
AB_1789,Yes,Study code available at GitHub repository URL
AB_1790,Yes,Study code available at GitHub repository URL
