NO,Result,Reason
AB_2481,Yes,"Study data, code, or resources available at repository or project URL"
AB_2482,Yes,"Study data, code, or resources available at repository or project URL"
AB_2483,Yes,"Study data, code, or resources available at repository or project URL"
AB_2484,No URL found,No explicit http/https URL found
AB_2485,No URL found,No explicit http/https URL found
AB_2486,Yes,"Study data, code, or resources available at repository or project URL"
AB_2487,Yes,"Study data, code, or resources available at repository or project URL"
AB_2488,Yes,"Study data, code, or resources available at repository or project URL"
AB_2489,Yes,"Study data, code, or resources available at repository or project URL"
AB_2490,Yes,"Study data, code, or resources available at repository or project URL"
