NO,Result,Reason
AB_2171,Yes,Study-related resources indicated via URL
AB_2172,Yes,Study-related resources indicated via URL
AB_2173,Yes,Study-related resources indicated via URL
AB_2174,Yes,Study-related resources indicated via URL
AB_2175,Yes,Study-related resources indicated via URL
AB_2176,Yes,Study-related resources indicated via URL
AB_2177,Yes,Study-related resources indicated via URL
AB_2178,Yes,Study-related resources indicated via URL
AB_2179,Yes,Study-related resources indicated via URL
AB_2180,Yes,Study-related resources indicated via URL
