NO,Result,Reason
AB_0791,Yes,Study data or code available at repository URL
AB_0792,Yes,Study data or code available at repository URL
AB_0793,Yes,Research-related materials plausibly available at URL
AB_0794,Yes,Study data or code available at URL
AB_0795,Yes,Research-related materials plausibly available at URL
AB_0796,Yes,Study data or code available at URL
AB_0797,Yes,Research-related materials plausibly available at URL
AB_0798,No,URL explicitly refers to third-party registry without study outputs
AB_0799,Yes,Research-related materials plausibly available at URL
AB_0800,No,URL explicitly refers to third-party registry without study outputs
