NO,Result,Reason
AB_2711,Yes,"Study data, code, or resources available at repository or project URL"
AB_2712,Yes,"Study data, code, or resources available at repository or project URL"
AB_2713,Yes,"Study data, code, or resources available at repository or project URL"
AB_2714,Yes,"Study data, code, or resources available at repository or project URL"
AB_2715,Yes,"Study data, code, or resources available at repository or project URL"
AB_2716,Yes,"Study data, code, or resources available at repository or project URL"
AB_2717,Yes,"Study data, code, or resources available at repository or project URL"
AB_2718,Yes,"Study data, code, or resources available at repository or project URL"
AB_2719,Yes,"Study data, code, or resources available at repository or project URL"
AB_2720,Yes,"Study data, code, or resources available at repository or project URL"
