NO,Result,Reason
AB_1801,Yes,Study code available at GitHub repository URL
AB_1802,Yes,Study-related resources available at URL
AB_1803,Yes,Study-related resources available at URL
AB_1804,Yes,Study code available at GitHub repository URL
AB_1805,Yes,Study-related resources available at URL
AB_1806,Yes,Study-related resources available at URL
AB_1807,Yes,Study-related resources available at URL
AB_1808,Yes,Study code available at GitHub repository URL
AB_1809,Yes,Study code available at GitHub repository URL
AB_1810,Yes,Study code available at GitHub repository URL
