NO,Result,Reason
AB_3601,Yes,Study-related materials plausibly available via URL
AB_3602,Yes,Study-related materials plausibly available via URL
AB_3603,Yes,Study-related materials plausibly available via URL
AB_3604,Yes,Study-related materials plausibly available via URL
AB_3605,Yes,Study-related materials plausibly available via URL
AB_3606,Yes,Study-related materials plausibly available via URL
AB_3607,Yes,Study-related materials plausibly available via URL
AB_3608,Yes,Study-related materials plausibly available via URL
AB_3609,Yes,Study-related materials plausibly available via URL
AB_3610,No URL found,No explicit http/https URL found
