NO,Result,Reason
AB_3821,Yes,Study data or materials available at URL
AB_3822,Yes,Study data or materials available at URL
AB_3823,Yes,Study data or materials available at URL
AB_3824,Yes,Study data or materials available at URL
AB_3825,Yes,Study data or materials available at URL
AB_3826,Yes,Study data or materials available at URL
AB_3827,Yes,Study data or materials available at URL
AB_3828,Yes,Study data or materials available at URL
AB_3829,Yes,Study data or materials available at URL
AB_3830,Yes,Study data or materials available at URL
