NO,Result,Reason
AB_1201,Yes,"Study data, code, or materials indicated at URL"
AB_1202,Yes,"Study data, code, or materials indicated at URL"
AB_1203,Yes,"Study data, code, or materials indicated at URL"
AB_1204,Yes,"Study data, code, or materials indicated at URL"
AB_1205,Yes,"Study data, code, or materials indicated at URL"
AB_1206,Yes,"Study data, code, or materials indicated at URL"
AB_1207,Yes,URL plausibly provides research-related outputs
AB_1208,Yes,"Study data, code, or materials indicated at URL"
AB_1209,Yes,"Study data, code, or materials indicated at URL"
AB_1210,Yes,"Study data, code, or materials indicated at URL"
