NO,Result,Reason
AB_0561,Yes,Study data or materials available at repository URL
AB_0562,Yes,Study data or materials available at repository URL
AB_0563,Yes,Study data or materials available at repository URL
AB_0564,Yes,Study data or materials available at repository URL
AB_0565,Yes,Study data or materials available at repository URL
AB_0566,Yes,Study data or materials available at repository URL
AB_0567,Yes,Study data or materials available at repository URL
AB_0568,Yes,Study data or materials available at repository URL
AB_0569,Yes,Study data or materials available at repository URL
AB_0570,Yes,Study data or materials available at repository URL
