NO,Result,Reason
AB_1941,Yes,Study-related resources indicated via URL
AB_1942,Yes,Study-related resources indicated via URL
AB_1943,Yes,Study-related resources indicated via URL
AB_1944,Yes,Study-related resources indicated via URL
AB_1945,Yes,Study-related resources indicated via URL
AB_1946,Yes,Study-related resources indicated via URL
AB_1947,Yes,Study-related resources indicated via URL
AB_1948,Yes,Study-related resources indicated via URL
AB_1949,Yes,Study-related resources indicated via URL
AB_1950,Yes,Study-related resources indicated via URL
