NO,Result,Reason
AB_3041,Yes,"Study data, code, or resources available at repository or project URL"
AB_3042,Yes,"Study data, code, or resources available at repository or project URL"
AB_3043,Yes,"Study data, code, or resources available at repository or project URL"
AB_3044,Yes,"Study data, code, or resources available at repository or project URL"
AB_3045,Yes,"Study data, code, or resources available at repository or project URL"
AB_3046,Yes,"Study data, code, or resources available at repository or project URL"
AB_3047,Yes,"Study data, code, or resources available at repository or project URL"
AB_3048,Yes,"Study data, code, or resources available at repository or project URL"
AB_3049,No URL found,No explicit http/https URL found
AB_3050,Yes,"Study data, code, or resources available at repository or project URL"
