NO,Result,Reason
AB_0721,Yes,Study data or code available at URL
AB_0722,Yes,Study data or code available at URL
AB_0723,Yes,Study data or code available at URL
AB_0724,No,URL explicitly refers to third-party registry without study outputs
AB_0725,Yes,Study data or code available at URL
AB_0726,Yes,Study data or code available at URL
AB_0727,Yes,Study data or code available at URL
AB_0728,Yes,Study data or code available at URL
AB_0729,Yes,Research-related materials plausibly available at URL
AB_0730,Yes,Study data or code available at URL
