NO,Result,Reason
AB_2661,Yes,"Study data, code, or resources available at repository or project URL"
AB_2662,Yes,"Study data, code, or resources available at repository or project URL"
AB_2663,Yes,"Study data, code, or resources available at repository or project URL"
AB_2664,Yes,"Study data, code, or resources available at repository or project URL"
AB_2665,Yes,"Study data, code, or resources available at repository or project URL"
AB_2666,Yes,"Study data, code, or resources available at repository or project URL"
AB_2667,Yes,"Study data, code, or resources available at repository or project URL"
AB_2668,Yes,"Study data, code, or resources available at repository or project URL"
AB_2669,Yes,"Study data, code, or resources available at repository or project URL"
AB_2670,Yes,"Study data, code, or resources available at repository or project URL"
