NO,Result,Reason
AB_1451,Yes,"Study data, code, or materials indicated at URL"
AB_1452,Yes,"Study data, code, or materials indicated at URL"
AB_1453,Yes,"Study data, code, or materials indicated at URL"
AB_1454,Yes,"Study data, code, or materials indicated at URL"
AB_1455,Yes,URL plausibly provides research-related outputs
AB_1456,No URL found,No explicit http/https URL found
AB_1457,Yes,"Study data, code, or materials indicated at URL"
AB_1458,Yes,"Study data, code, or materials indicated at URL"
AB_1459,Yes,"Study data, code, or materials indicated at URL"
AB_1460,Yes,URL plausibly provides research-related outputs
