NO,Result,Reason
AB_0191,Yes,Study data or materials available at repository URL
AB_0192,Yes,Study data or materials available at repository URL
AB_0193,Yes,Study data or materials available at repository URL
AB_0194,Yes,Study data or materials available at repository URL
AB_0195,Yes,Study data or materials available at repository URL
AB_0196,Yes,Study data or materials available at repository URL
AB_0197,No,URL explicitly refers to non-output resource or no indication of study outputs
AB_0198,No,URL explicitly refers to non-output resource or no indication of study outputs
AB_0199,Yes,Study data or materials available at repository URL
AB_0200,Yes,Study data or materials available at repository URL
