NO,Result,Reason
AB_0281,Yes,Study data or materials available at repository URL
AB_0282,No,URL explicitly refers to non-output resource or no indication of study outputs
AB_0283,Yes,Study data or materials available at repository URL
AB_0284,Yes,Study data or materials available at repository URL
AB_0285,No URL found,No explicit http/https URL found
AB_0286,Yes,Study data or materials available at repository URL
AB_0287,Yes,Study data or materials available at repository URL
AB_0288,Yes,Study data or materials available at repository URL
AB_0289,No URL found,No explicit http/https URL found
AB_0290,No URL found,No explicit http/https URL found
