NO,Result,Reason
AB_3071,No,URL present but no research outputs indicated
AB_3072,Yes,Study data or materials available at URL
AB_3073,Yes,Study data or materials available at URL
AB_3074,Yes,Study data or materials available at URL
AB_3075,Yes,Study data or materials available at URL
AB_3076,Yes,Study data or materials available at URL
AB_3077,Yes,Study data or materials available at URL
AB_3078,Yes,Study data or materials available at URL
AB_3079,Yes,Study data or materials available at URL
AB_3080,No,URL present but no research outputs indicated
