NO,Result,Reason
AB_3471,Yes,Study data or materials available at URL
AB_3472,Yes,Study data or materials available at URL
AB_3473,Yes,Study data or materials available at URL
AB_3474,Yes,Study data or materials available at URL
AB_3475,No,URL present but no research outputs indicated
AB_3476,Yes,Study data or materials available at URL
AB_3477,Yes,Study data or materials available at URL
AB_3478,Yes,Study data or materials available at URL
AB_3479,Yes,Study data or materials available at URL
AB_3480,Yes,Study data or materials available at URL
