NO,Result,Reason
AB_0851,Yes,Study data or code available at URL
AB_0852,Yes,Study data or code available at repository URL
AB_0853,No,URL explicitly refers to third-party registry without study outputs
AB_0854,Yes,Study data or code available at repository URL
AB_0855,Yes,Study data or code available at repository URL
AB_0856,Yes,Study data or code available at URL
AB_0857,Yes,Study data or code available at URL
AB_0858,Yes,Study data or code available at URL
AB_0859,Yes,Research-related materials plausibly available at URL
AB_0860,Yes,Research-related materials plausibly available at URL
