NO,Result,Reason
AB_3751,No URL found,No explicit http/https URL found
AB_3752,Yes,Study data or materials available at URL
AB_3753,Yes,Study data or materials available at URL
AB_3754,Yes,Study data or materials available at URL
AB_3755,Yes,Study data or materials available at URL
AB_3756,Yes,Study data or materials available at URL
AB_3757,Yes,Study data or materials available at URL
AB_3758,Yes,Study data or materials available at URL
AB_3759,Yes,URL plausibly provides research-related outputs
AB_3760,Yes,Study data or materials available at URL
