NO,Result,Reason
AB_3221,Yes,Study data or materials available at URL
AB_3222,Yes,Study data or materials available at URL
AB_3223,Yes,Study data or materials available at URL
AB_3224,Yes,Study data or materials available at URL
AB_3225,Yes,Study data or materials available at URL
AB_3226,Yes,Study data or materials available at URL
AB_3227,Yes,Study data or materials available at URL
AB_3228,Yes,Study data or materials available at URL
AB_3229,Yes,Study data or materials available at URL
AB_3230,Yes,Study data or materials available at URL
