NO,Result,Reason
AB_0181,Yes,Study data or materials available at repository URL
AB_0182,No,URL explicitly refers to non-output resource or no indication of study outputs
AB_0183,Yes,Study data or materials available at repository URL
AB_0184,No,URL explicitly refers to non-output resource or no indication of study outputs
AB_0185,No,URL explicitly refers to non-output resource or no indication of study outputs
AB_0186,No,URL explicitly refers to non-output resource or no indication of study outputs
AB_0187,Yes,Study data or materials available at repository URL
AB_0188,Yes,Study data or materials available at repository URL
AB_0189,Yes,Study data or materials available at repository URL
AB_0190,Yes,Study data or materials available at repository URL
