NO,Result,Reason
AB_1661,Yes,Study dataset available via DOI repository URL
AB_1662,Yes,Study code available at GitHub repository URL
AB_1663,Yes,Study-related resources available at URL
AB_1664,Yes,Study code available at GitHub repository URL
AB_1665,Yes,Study code available at GitHub repository URL
AB_1666,Yes,Study code available at GitHub repository URL
AB_1667,Yes,Study code available at GitHub repository URL
AB_1668,Yes,Study-related resources available at URL
AB_1669,Yes,Study code available at GitHub repository URL
AB_1670,Yes,Study code available at GitHub repository URL
