NO,Result,Reason
AB_1061,Yes,"Study data, code, or materials indicated at URL"
AB_1062,Yes,"Study data, code, or materials indicated at URL"
AB_1063,Yes,"Study data, code, or materials indicated at URL"
AB_1064,Yes,"Study data, code, or materials indicated at URL"
AB_1065,Yes,"Study data, code, or materials indicated at URL"
AB_1066,Yes,"Study data, code, or materials indicated at URL"
AB_1067,Yes,"Study data, code, or materials indicated at URL"
AB_1068,Yes,"Study data, code, or materials indicated at URL"
AB_1069,Yes,"Study data, code, or materials indicated at URL"
AB_1070,No URL found,No explicit http/https URL found
