NO,Result,Reason
AB_1091,Yes,"Study data, code, or materials indicated at URL"
AB_1092,Yes,"Study data, code, or materials indicated at URL"
AB_1093,Yes,"Study data, code, or materials indicated at URL"
AB_1094,Yes,"Study data, code, or materials indicated at URL"
AB_1095,Yes,"Study data, code, or materials indicated at URL"
AB_1096,Yes,URL plausibly provides research-related outputs
AB_1097,Yes,"Study data, code, or materials indicated at URL"
AB_1098,Yes,URL plausibly provides research-related outputs
AB_1099,Yes,"Study data, code, or materials indicated at URL"
AB_1100,Yes,URL plausibly provides research-related outputs
