NO,Result,Reason
AB_0351,Yes,Study data or materials available at repository URL
AB_0352,Yes,Study data or materials available at repository URL
AB_0353,Yes,Study data or materials available at repository URL
AB_0354,Yes,Study data or materials available at repository URL
AB_0355,Yes,Study data or materials available at repository URL
AB_0356,Yes,Study data or materials available at repository URL
AB_0357,Yes,Study data or materials available at repository URL
AB_0358,Yes,Study data or materials available at repository URL
AB_0359,Yes,Study data or materials available at repository URL
AB_0360,Yes,Study data or materials available at repository URL
