NO,Result,Reason
AB_3851,Yes,Study data or materials available at URL
AB_3852,Yes,Study data or materials available at URL
AB_3853,Yes,Study data or materials available at URL
AB_3854,Yes,Study data or materials available at URL
AB_3855,Yes,Study data or materials available at URL
AB_3856,Yes,Study data or materials available at URL
AB_3857,Yes,Study data or materials available at URL
AB_3858,Yes,Study data or materials available at URL
AB_3859,Yes,Study data or materials available at URL
AB_3860,Yes,Study data or materials available at URL
