NO,Result,Reason
AB_1721,No,"URL explicitly refers to registration record, not study outputs"
AB_1722,Yes,Study-related resources available at URL
AB_1723,Yes,Study code available at GitHub repository URL
AB_1724,Yes,Study code available at GitHub repository URL
AB_1725,Yes,Study code available at GitHub repository URL
AB_1726,Yes,Study-related resources available at URL
AB_1727,Yes,Study-related resources available at URL
AB_1728,Yes,Study-related resources available at URL
AB_1729,Yes,Study code available at GitHub repository URL
AB_1730,Yes,Study code available at GitHub repository URL
