NO,Result,Reason
AB_2891,Yes,"Study data, code, or resources available at repository or project URL"
AB_2892,Yes,"Study data, code, or resources available at repository or project URL"
AB_2893,Yes,"Study data, code, or resources available at repository or project URL"
AB_2894,Yes,"Study data, code, or resources available at repository or project URL"
AB_2895,Yes,"Study data, code, or resources available at repository or project URL"
AB_2896,Yes,"Study data, code, or resources available at repository or project URL"
AB_2897,Yes,"Study data, code, or resources available at repository or project URL"
AB_2898,Yes,"Study data, code, or resources available at repository or project URL"
AB_2899,Yes,"Study data, code, or resources available at repository or project URL"
AB_2900,Yes,"Study data, code, or resources available at repository or project URL"
