NO,Result,Reason
AB_3161,No,URL present but no research outputs indicated
AB_3162,Yes,Study data or materials available at URL
AB_3163,Yes,Study data or materials available at URL
AB_3164,Yes,Study data or materials available at URL
AB_3165,No,URL present but no research outputs indicated
AB_3166,Yes,Study data or materials available at URL
AB_3167,Yes,Study data or materials available at URL
AB_3168,Yes,Study data or materials available at URL
AB_3169,Yes,Study data or materials available at URL
AB_3170,No,URL present but no research outputs indicated
