NO,Result,Reason
AB_1891,Yes,Study-related resources available at URL
AB_1892,Yes,Study-related resources available at URL
AB_1893,Yes,Study code available at GitHub repository URL
AB_1894,Yes,Study code available at GitHub repository URL
AB_1895,Yes,Study code available at GitHub repository URL
AB_1896,Yes,Study-related resources available at URL
AB_1897,Yes,Study code available at GitHub repository URL
AB_1898,Yes,Study code available at GitHub repository URL
AB_1899,Yes,Study-related resources available at URL
AB_1900,Yes,Study-related resources available at URL
