NO,Result,Reason
AB_0511,Yes,Study data or materials available at repository URL
AB_0512,No,URL explicitly refers to non-output resource or no indication of study outputs
AB_0513,Yes,Study data or materials available at repository URL
AB_0514,No,URL explicitly refers to non-output resource or no indication of study outputs
AB_0515,No URL found,No explicit http/https URL found
AB_0516,Yes,Study data or materials available at repository URL
AB_0517,Yes,Study data or materials available at repository URL
AB_0518,Yes,Study data or materials available at repository URL
AB_0519,No,URL explicitly refers to non-output resource or no indication of study outputs
AB_0520,Yes,Study data or materials available at repository URL
