NO,Result,Reason
AB_1131,Yes,"Study data, code, or materials indicated at URL"
AB_1132,Yes,"Study data, code, or materials indicated at URL"
AB_1133,Yes,"Study data, code, or materials indicated at URL"
AB_1134,Yes,"Study data, code, or materials indicated at URL"
AB_1135,No URL found,No explicit http/https URL found
AB_1136,Yes,"Study data, code, or materials indicated at URL"
AB_1137,Yes,URL plausibly provides research-related outputs
AB_1138,Yes,"Study data, code, or materials indicated at URL"
AB_1139,Yes,"Study data, code, or materials indicated at URL"
AB_1140,Yes,"Study data, code, or materials indicated at URL"
