NO,Result,Reason
AB_1041,Yes,"Study data, code, or materials indicated at URL"
AB_1042,Yes,"Study data, code, or materials indicated at URL"
AB_1043,No,"DOI URL appears to refer only to the article, not study outputs"
AB_1044,Yes,"Study data, code, or materials indicated at URL"
AB_1045,Yes,"Study data, code, or materials indicated at URL"
AB_1046,Yes,"Study data, code, or materials indicated at URL"
AB_1047,Yes,"Study data, code, or materials indicated at URL"
AB_1048,Yes,"Study data, code, or materials indicated at URL"
AB_1049,Yes,"Study data, code, or materials indicated at URL"
AB_1050,Yes,"Study data, code, or materials indicated at URL"
