NO,Result,Reason
AB_0441,Yes,Study data or materials available at repository URL
AB_0442,Yes,Study data or materials available at repository URL
AB_0443,No,URL explicitly refers to non-output resource or no indication of study outputs
AB_0444,No,URL explicitly refers to non-output resource or no indication of study outputs
AB_0445,Yes,Study data or materials available at repository URL
AB_0446,Yes,Study data or materials available at repository URL
AB_0447,Yes,Study data or materials available at repository URL
AB_0448,Yes,Study data or materials available at repository URL
AB_0449,Yes,Study data or materials available at repository URL
AB_0450,Yes,Study data or materials available at repository URL
