NO,Result,Reason
AB_3321,Yes,Study data or materials available at URL
AB_3322,Yes,Study data or materials available at URL
AB_3323,Yes,Study data or materials available at URL
AB_3324,Yes,Study data or materials available at URL
AB_3325,Yes,Study data or materials available at URL
AB_3326,Yes,Study data or materials available at URL
AB_3327,Yes,Study data or materials available at URL
AB_3328,Yes,Study data or materials available at URL
AB_3329,Yes,Study data or materials available at URL
AB_3330,Yes,Study data or materials available at URL
