NO,Result,Reason
AB_1241,Yes,"Study data, code, or materials indicated at URL"
AB_1242,Yes,URL plausibly provides research-related outputs
AB_1243,Yes,"Study data, code, or materials indicated at URL"
AB_1244,Yes,"Study data, code, or materials indicated at URL"
AB_1245,Yes,"Study data, code, or materials indicated at URL"
AB_1246,Yes,"Study data, code, or materials indicated at URL"
AB_1247,Yes,"Study data, code, or materials indicated at URL"
AB_1248,Yes,"Study data, code, or materials indicated at URL"
AB_1249,Yes,"Study data, code, or materials indicated at URL"
AB_1250,Yes,"Study data, code, or materials indicated at URL"
