NO,Result,Reason
AB_3251,Yes,Study data or materials available at URL
AB_3252,Yes,Study data or materials available at URL
AB_3253,Yes,Study data or materials available at URL
AB_3254,Yes,Study data or materials available at URL
AB_3255,Yes,Study data or materials available at URL
AB_3256,Yes,Study data or materials available at URL
AB_3257,Yes,Study data or materials available at URL
AB_3258,Yes,Study data or materials available at URL
AB_3259,Yes,Study data or materials available at URL
AB_3260,Yes,Study data or materials available at URL
