NO,Result,Reason
AB_1971,Yes,Study-related resources indicated via URL
AB_1972,Yes,Study-related resources indicated via URL
AB_1973,Yes,Study-related resources indicated via URL
AB_1974,Yes,Study-related resources indicated via URL
AB_1975,Yes,Study-related resources indicated via URL
AB_1976,Yes,Study-related resources indicated via URL
AB_1977,Yes,Study-related resources indicated via URL
AB_1978,Yes,Study-related resources indicated via URL
AB_1979,Yes,Study-related resources indicated via URL
AB_1980,Yes,Study-related resources indicated via URL
