NO,Result,Reason
AB_1771,No,"URL explicitly refers to registration record, not study outputs"
AB_1772,Yes,Study code available at GitHub repository URL
AB_1773,Yes,Study-related resources available at URL
AB_1774,Yes,Study code available at GitHub repository URL
AB_1775,Yes,Study-related resources available at URL
AB_1776,Yes,Study code available at GitHub repository URL
AB_1777,Yes,Study-related resources available at URL
AB_1778,Yes,Study dataset available via DOI repository URL
AB_1779,Yes,Study dataset available via DOI repository URL
AB_1780,No,"URL explicitly refers to registration record, not study outputs"
