NO,Result,Reason
AB_2161,Yes,Study-related resources indicated via URL
AB_2162,Yes,Study-related resources indicated via URL
AB_2163,Yes,Study-related resources indicated via URL
AB_2164,Yes,Study-related resources indicated via URL
AB_2165,Yes,Study-related resources indicated via URL
AB_2166,Yes,Study-related resources indicated via URL
AB_2167,Yes,Study-related resources indicated via URL
AB_2168,Yes,Study-related resources indicated via URL
AB_2169,Yes,Study-related resources indicated via URL
AB_2170,Yes,Study-related resources indicated via URL
